,date,ratePerDay
174,23-06-20,0.16965517241379313
175,24-06-20,0.15827586206896554
176,25-06-20,0.14689655172413796
177,26-06-20,0.13551724137931037
178,27-06-20,0.12413793103448278
179,28-06-20,0.1127586206896552
180,29-06-20,0.10137931034482761
181,30-06-20,0.09
182,1-07-20,0.09
183,2-07-20,0.08366666666666667
184,3-07-20,0.07733333333333334
185,4-07-20,0.071
186,5-07-20,0.06466666666666666
187,6-07-20,0.058333333333333334
188,7-07-20,0.052
189,8-07-20,0.04566666666666666
190,9-07-20,0.03933333333333333
191,10-07-20,0.033
192,11-07-20,0.026666666666666672
193,12-07-20,0.020333333333333328
194,13-07-20,0.013999999999999999
195,14-07-20,0.007666666666666669
196,15-07-20,0.0013333333333333253
197,16-07-20,-0.0050000000000000044
198,17-07-20,-0.011333333333333334
